2022-05-16 14:05:450 INFO  SignInPage :72 - verify SignIn Link : Sign in
2022-05-16 14:05:735 INFO  ManageDriver :32 - Launching Chrome Browser
2022-05-16 14:05:219 INFO  HomePage :21 - click on signIn link : Sign in
2022-05-16 14:05:320 INFO  SignInPage :52 - Enter username : [[ChromeDriver: chrome on WINDOWS (191beae30a808e61aaea2a8944a6d2df)] -> xpath: //input[@id='email']]
2022-05-16 14:05:538 INFO  SignInPage :56 - Enter password : [[ChromeDriver: chrome on WINDOWS (191beae30a808e61aaea2a8944a6d2df)] -> xpath: //input[@id='passwd']]
2022-05-16 14:05:629 INFO  SignInPage :59 - Click on Sign In Button : Sign in
2022-05-16 16:05:578 INFO  ManageDriver :32 - Launching Chrome Browser
2022-05-16 16:05:768 INFO  HomePage :21 - click on signIn link : Sign in
2022-05-16 16:05:666 INFO  SignInPage :94 - Enter email address : [[ChromeDriver: chrome on WINDOWS (3ee5cd8fe85a176219ce39aec8036044)] -> xpath: //input[@id='email_create']]
2022-05-16 16:05:729 INFO  SignInPage :97 - click on create account button : Create an account
2022-05-16 16:05:828 INFO  ManageDriver :32 - Launching Chrome Browser
2022-05-16 16:05:734 INFO  ManageDriver :32 - Launching Chrome Browser
2022-05-16 16:05:577 INFO  HomePage :21 - click on signIn link : Sign in
2022-05-16 16:05:763 INFO  SignInPage :93 - Enter email address : [[ChromeDriver: chrome on WINDOWS (206b47292b4302779a56cfa4951b63ae)] -> xpath: //input[@id='email_create']]
2022-05-16 16:05:821 INFO  SignInPage :96 - click on create account button : Create an account
2022-05-16 16:05:26 INFO  ManageDriver :32 - Launching Chrome Browser
2022-05-16 16:05:322 INFO  HomePage :21 - click on signIn link : Sign in
2022-05-16 16:05:681 INFO  SignInPage :93 - Enter email address : [[ChromeDriver: chrome on WINDOWS (c505283954d329fa37470e212c6982a8)] -> xpath: //input[@id='email_create']]
2022-05-16 16:05:745 INFO  SignInPage :96 - click on create account button : Create an account
2022-05-16 16:05:482 INFO  ManageDriver :32 - Launching Chrome Browser
2022-05-16 16:05:888 INFO  HomePage :21 - click on signIn link : Sign in
2022-05-16 16:05:906 INFO  SignInPage :93 - Enter email address : [[ChromeDriver: chrome on WINDOWS (d936cb8ea05fcf82f3d3dfd0da5d078d)] -> xpath: //input[@id='email_create']]
2022-05-16 16:05:945 INFO  SignInPage :96 - click on create account button : Create an account
2022-05-16 16:05:449 INFO  ManageDriver :32 - Launching Chrome Browser
2022-05-16 16:05:804 INFO  HomePage :21 - click on signIn link : Sign in
2022-05-16 16:05:185 INFO  SignInPage :93 - Enter email address : [[ChromeDriver: chrome on WINDOWS (275ee341348abd7ced39e6f20e3dc2cd)] -> xpath: //input[@id='email_create']]
2022-05-16 16:05:228 INFO  SignInPage :96 - click on create account button : Create an account
2022-05-16 16:05:157 INFO  ManageDriver :32 - Launching Chrome Browser
2022-05-16 16:05:976 INFO  HomePage :21 - click on signIn link : Sign in
2022-05-16 16:05:757 INFO  SignInPage :93 - Enter email address : [[ChromeDriver: chrome on WINDOWS (697930bfada74069a0c6b58bfc3dc2a0)] -> xpath: //input[@id='email_create']]
2022-05-16 16:05:808 INFO  SignInPage :96 - click on create account button : Create an account
2022-05-16 16:05:634 INFO  ManageDriver :32 - Launching Chrome Browser
2022-05-16 16:05:408 INFO  HomePage :21 - click on signIn link : Sign in
2022-05-16 16:05:377 INFO  SignInPage :93 - Enter email address : [[ChromeDriver: chrome on WINDOWS (33719598d14b27656e644f3a797ebf3d)] -> xpath: //input[@id='email_create']]
2022-05-16 16:05:431 INFO  SignInPage :96 - click on create account button : Create an account
2022-05-16 16:05:670 INFO  ManageDriver :32 - Launching Chrome Browser
2022-05-16 16:05:375 INFO  HomePage :21 - click on signIn link : Sign in
2022-05-16 16:05:47 INFO  SignInPage :93 - Enter email address : [[ChromeDriver: chrome on WINDOWS (ade1391df1260cec8329d13a73f3bda7)] -> xpath: //input[@id='email_create']]
2022-05-16 16:05:99 INFO  SignInPage :96 - click on create account button : Create an account
2022-05-16 16:05:573 INFO  ManageDriver :32 - Launching Chrome Browser
2022-05-16 16:05:45 INFO  HomePage :21 - click on signIn link : Sign in
2022-05-16 16:05:410 INFO  SignInPage :93 - Enter email address : [[ChromeDriver: chrome on WINDOWS (8f33d5c1ba82f1cb485ff283c14ef03a)] -> xpath: //input[@id='email_create']]
2022-05-16 16:05:455 INFO  SignInPage :96 - click on create account button : Create an account
2022-05-16 16:05:328 INFO  ManageDriver :32 - Launching Chrome Browser
2022-05-16 16:05:43 INFO  HomePage :21 - click on signIn link : Sign in
2022-05-16 16:05:116 INFO  SignInPage :93 - Enter email address : [[ChromeDriver: chrome on WINDOWS (237c6cb5adedd9c06e0bf21654ed3c98)] -> xpath: //input[@id='email_create']]
2022-05-16 16:05:169 INFO  SignInPage :96 - click on create account button : Create an account
2022-05-16 16:05:372 INFO  CreateAccountPage :41 - Selecting Title [[[ChromeDriver: chrome on WINDOWS (237c6cb5adedd9c06e0bf21654ed3c98)] -> xpath: //div[@class='radio']], [[ChromeDriver: chrome on WINDOWS (237c6cb5adedd9c06e0bf21654ed3c98)] -> xpath: //div[@class='radio']]]
2022-05-16 16:05:400 INFO  ManageDriver :32 - Launching Chrome Browser
2022-05-16 16:05:923 INFO  HomePage :21 - click on signIn link : Sign in
2022-05-16 16:05:561 INFO  SignInPage :93 - Enter email address : [[ChromeDriver: chrome on WINDOWS (76179b577d689ffbaa1f70b8b58cda8d)] -> xpath: //input[@id='email_create']]
2022-05-16 16:05:634 INFO  SignInPage :96 - click on create account button : Create an account
2022-05-16 17:05:143 INFO  ManageDriver :32 - Launching Chrome Browser
2022-05-16 17:05:359 INFO  HomePage :21 - click on signIn link : Sign in
2022-05-16 17:05:378 INFO  SignInPage :93 - Enter email address : [[ChromeDriver: chrome on WINDOWS (b7225cda4bb0beb5a84fb8757e2d9b28)] -> xpath: //input[@id='email_create']]
2022-05-16 17:05:431 INFO  SignInPage :96 - click on create account button : Create an account
